base;num variables;Ramas Rchic;Ramas Pchic;Grupos  Rchic;Grupos Pchic;Porcentaje de ramas similares ;Porcentaje de grupos similares;;;
304;71;69;69;35;8;1.000;0.229;;;
305;33;30;30;16;9;1.000;0.563;;;
306;31;30;30;15;4;1.000;0.267;;;
307;50;48;48;25;12;1.000;0.480;;;
308;96;94;94;48;8;1.000;0.167;;;
309;42;40;40;21;5;1.000;0.238;;;
310;82;80;80;40;9;1.000;0.225;;;
311;52;50;50;25;10;1.000;0.400;;;
312;60;59;59;15;5;1.000;0.333;;;
313;96;94;94;45;12;1.000;0.267;;;
314;86;84;84;43;20;1.000;0.465;;;
315;30;29;29;15;7;1.000;0.467;;;
316;88;86;86;44;15;1.000;0.341;;;
317;96;94;94;45;6;1.000;0.133;;;
318;16;15;15;8;8;1.000;1.000;;;
319;30;28;28;15;10;1.000;0.667;;;
320;40;38;38;20;7;1.000;0.350;;;
321;84;82;82;42;10;1.000;0.238;;;
322;47;45;45;23;6;1.000;0.261;;;
323;69;67;67;35;7;1.000;0.200;;;
324;99;97;97;50;8;1.000;0.160;;;
325;67;65;65;32;5;1.000;0.156;;;
326;75;73;73;35;5;1.000;0.143;;;
327;49;47;47;25;5;1.000;0.200;;;
328;62;60;60;30;10;1.000;0.333;;;
329;9;8;8;4;4;1.000;1.000;;;
330;93;90;90;45;10;1.000;0.222;;;
331;66;64;64;33;9;1.000;0.273;;;
332;70;68;68;35;9;1.000;0.257;;;
333;17;16;16;8;8;1.000;1.000;;;
334;49;47;47;25;10;1.000;0.400;;;
335;9;8;8;4;4;1.000;1.000;;;
336;91;90;90;45;10;1.000;0.222;;;
337;72;70;70;35;8;1.000;0.229;;;
338;48;46;46;24;12;1.000;0.500;;;
339;52;50;50;20;5;1.000;0.250;;;
340;19;18;18;9;6;1.000;0.667;;;
341;87;85;85;43;15;1.000;0.349;;;
342;13;12;12;6;6;1.000;1.000;;;
343;37;36;36;16;8;1.000;0.500;;;
344;22;21;21;10;7;1.000;0.700;;;
345;81;80;80;40;8;1.000;0.200;;;
346;67;65;65;33;10;1.000;0.303;;;
347;87;85;85;43;6;1.000;0.140;;;
348;83;80;80;40;10;1.000;0.250;;;
349;50;48;48;25;10;1.000;0.400;;;
350;11;10;10;5;5;1.000;1.000;;;
351;27;25;25;12;8;1.000;0.667;;;
352;88;86;86;44;10;1.000;0.227;;;
353;79;7;7;40;7;1.000;0.175;;;
354;38;35;35;19;8;1.000;0.421;;;
355;13;12;12;6;6;1.000;1.000;;;
356;41;39;39;16;10;1.000;0.625;;;
